Word Gold_Standard Prediction
10 O O
- O O
hiroshi B-PER O
nanami I-PER O
, O O
11 O O
- O O
kazuyoshi B-PER O
miura I-PER O
, O O
15 O O
- O O
hiroaki B-PER O
morishima I-PER O
( O O
14 O O
- O O
masayuki B-PER O
okano I-PER O
75 O O
) O O
. O O

syria B-LOC B-LOC
: O O
24 O O
- O O
salem B-PER O
bitar I-PER O
, O O
3 O O
- O O
bachar B-PER O
srour I-PER O
; O O
4 O O
- O O
hassan B-PER O
abbas I-PER O
, O O
5 O O
- O O
tarek B-PER O
jabban I-PER O
, O O
6 O O
- O O
ammar B-PER O
awad I-PER O
( O O
9 O O
- O O
louay B-PER O
taleb I-PER O
69 O O
) O O
, O O
8 O O
- O O
nihad B-PER O
al-boushi I-PER O
, O O
10 O O
- O O
mohammed B-PER O
afash I-PER O
, O O
12 O O
- O O
ali B-PER B-PER
dib I-PER O
, O O
13 O O
- O O
abdul B-PER O
latif I-PER O
helou I-PER O
( O O
17 O O
- O O
ammar B-PER O
rihawiy I-PER O
46 O O
) O O
, O O
14 O O
- O O
khaled B-PER O
zaher I-PER O
; O O
16 O O
- O O
nader B-PER O
jokhadar I-PER O
. O O

FREESTYLE O O
SKIING-WORLD B-MISC O
CUP I-MISC O
MOGUL O O
RESULTS O O
. O O

TIGNES B-LOC O
, O O
france B-LOC B-LOC
1996-12-06 O O

results O O
of O O
the O O
world B-MISC O
cup I-MISC O

freestyle O <pad>
skiing O O
moguls O O
competition O O
on O O
friday O O
: O O

men O O

1. O O
jesper B-PER O
ronnback I-PER O
( O O
sweden B-LOC B-LOC
) O O
25.76 O O
points O O

2. O O
andrei B-PER O
ivanov I-PER O
( O O
russia B-LOC B-LOC
) O O
24.88 O O

3. O O
ryan B-PER B-PER
johnson I-PER I-PER
( O O
canada B-LOC B-LOC
) O O
24.57 O O

4. O O
jean-luc B-PER O
brassard I-PER O
( O O
canada B-LOC B-LOC
) O O
24.40 O O

5. O O
korneilus B-PER O
hole I-PER O
( O O
norway B-LOC B-LOC
) O O
23.92 O O

6. O O
jeremie B-PER O
collomb-patton I-PER O
( O O
france B-LOC B-LOC
) O O
23.87 O O

7. O O
jim B-PER B-PER
moran I-PER I-PER
( O O
U.S. B-LOC B-LOC
) O O
23.25 O O

8. O O
dominick B-PER O
gauthier I-PER O
( O O
canada B-LOC B-LOC
) O O
22.73 O O

9. O O
johann B-PER O
gregoire I-PER O
( O O
france B-LOC B-LOC
) O O
22.58 O O

10. O O
troy B-PER B-PER
benson I-PER I-PER
( O O
U.S. B-LOC B-LOC
) O O
22.56 O O

women O O

1. O O
tatjana B-PER O
mittermayer I-PER O
( O O
germany B-LOC B-LOC
) O O
24.32 O O

2. O O
candice B-PER O
gilg I-PER O
( O O
france B-LOC B-LOC
) O O
24.31 O O

3. O O
minna B-PER O
karhu I-PER O
( O O
finland B-LOC B-LOC
) O O
24.05 O O

4. O O
tae B-PER O
satoya I-PER O
( O O
japan B-LOC B-LOC
) O O
23.75 O O

5. O O
ann B-PER B-PER
battellle I-PER I-PER
( O O
U.S. B-LOC B-LOC
) O O
23.56 O O

6. O O
donna B-PER B-PER
weinbrecht I-PER I-PER
( O O
U.S. B-LOC B-LOC
) O O
22.48 O O

7. O O
liz B-PER O
mcintyre I-PER O
( O O
U.S. B-LOC B-LOC
) O O
22.00 O O

8. O O
elena B-PER B-PER
koroleva I-PER I-PER
( O O
russia B-LOC B-LOC
) O O
21.77 O O

9. O O
ljudmila B-PER O
dymchenko I-PER O
( O O
russia B-LOC B-LOC
) O O
21.59 O O

10. O O
katleen B-PER O
allais I-PER O
( O O
france B-LOC B-LOC
) O O
21.58 O O

SOCCER O O
- O O
ASIAN B-MISC O
CUP I-MISC O
GROUP O O
C O O
RESULTS O O
. O O

AL-AIN B-LOC O
, O O
united B-LOC B-LOC
arab I-LOC I-LOC
emirates I-LOC O
1996-12-06 O O

results O O
of O O
asian B-MISC B-LOC
cup I-MISC O
group O O
C O O
matches O O
played O O
on O O
friday O O
: O O

japan B-LOC B-LOC
2 O O
syria B-LOC O
1 O O
( O O
halftime O O
0-1 O O
) O O

scorers O O
: O O

japan B-LOC B-LOC
- O O
hassan B-PER O
abbas I-PER I-PER
84 O O
own O O
goal O O
, O O
takuya B-PER O
takagi I-PER O
88 O O
. O O

syria B-LOC B-LOC
- O O
nader B-PER O
jokhadar I-PER O
7 O O

attendance O O
: O O
10,000 O O
. O O

china B-LOC B-LOC
uzbekistan B-LOC <pad>
2 O O
( O O
halftime O O
0-0 O O
) O O

scorers O O
: O O
shkvyrin B-PER O
igor I-PER O
78 O O
, O O
shatskikh B-PER O
oleg I-PER O
90 O O

attendence O O
: O O
3,000 O O

standings O O
( O O
tabulate O O
under O O
played O O
, O O
won O O
, O O
drawn O O
, O O
lost O O
, O O
goals O O

for O O
, O O
goals O O
against O O
, O O
points O O
) O O
: O O

uzbekistan B-LOC O
1 O O
1 O O
2 O <pad>
3 O O

japan B-LOC B-LOC
1 O O
1 O O
2 O <pad>
1 O O
3 O O

syria B-LOC B-LOC
1 O O
1 O <pad>
1 O O
2 O O

china B-LOC B-LOC
1 O O
1 O <pad>
2 O <pad>

CRICKET O O
- O O
PAKISTAN B-LOC B-LOC
V O O
NEW B-LOC B-LOC
ZEALAND I-LOC O
ONE-DAY O O
SCOREBOARD O O
. O O

[ O O
CORRECTED O O
14:06 O O
GMT B-MISC O
] O O

SIALKOT B-LOC O
, O O
pakistan B-LOC B-LOC
1996-12-06 O O

scoreboard O O
in O O
the O O
second O O

one-day O O
cricket O O
international O O
between O O
pakistan B-LOC B-LOC
and O O
new B-LOC O
zealand I-LOC I-LOC

on O O
friday O O
: O O

pakistan B-LOC B-LOC

saeed B-PER O
anwar I-PER O
run O O
out O O
91 O O
( O O
corrects O O
from O O
90 O O
) O O

zahoor B-PER O
elahi I-PER O
b O O
cairns B-PER O
86 O O
( O O
corrects O O
from O O
87 O O
) O O

ijaz B-PER O
ahmad I-PER O
c O O
spearman B-PER O
b O O
vaughan B-PER I-PER
59 O O

inzamamul B-PER O
haq I-PER O
st O O
germon B-PER O
b O O
astle B-PER O
2 O O

wasim B-PER O
akram I-PER O
b O O
harris B-PER B-PER
4 O O

shahid B-PER B-LOC
afridi I-PER O
b O O
harris B-PER B-PER
2 O O

moin B-PER O
khan I-PER B-LOC
c O O
astle B-PER O
b O O
harris B-PER B-PER
1 O O

waqar B-PER O
younis I-PER O
st O O
germon B-PER O
b O O
harris B-PER B-PER

saqlain B-PER O
mushtaq I-PER O
b O O
harris B-PER B-PER
2 O O

mushtaq B-PER O
ahmad I-PER O
not O O
out O O
5 O O

salim B-PER O
malik I-PER B-LOC
not O O
out O O
1 O O

extras O O
( O O
lb-8 O O
nb-2 O O
w-14 O O
) O O
24 O O

total O O
( O O
for O O
9 O O
wickets O O
in O O
47 O O
overs O O
) O O
277 O O

fall O O
of O O
wicket O O
: O O
1-177 O O
( O O
corrects O O
from O O
1-178 O O
) O O
2-225 O O
3-240 O O
4-247 O O
5-252 O O
6-260 O O
7-261 O O
8-269 O O
9-276 O O

bowling O O
: O O
doull B-PER O
8-1-60-0 O O
( O O
w-3 O O
) O O
, O O
kennedy B-PER B-PER
3-0-24-0 O O
( O O
w-7 O O
nb-1 O O
) O O
, O O

cairns B-PER I-PER
8-1-35-1 O O
( O O
w-2 O O
) O O
, O O
vaughan B-PER O
9-1-55-1 O O
, O O
harris B-PER B-PER
10-0-42-5 O O
( O O
w-1 O O
) O O
, O O

astle B-PER O
9-0-53-1 O O
( O O
w-1 O O
nb-1 O O
) O O

new B-LOC B-LOC
zealand I-LOC I-LOC
innings O O

B. B-PER B-PER
young I-PER O
c O O
moin B-PER O
khan I-PER I-PER
b O O
waqar B-PER O
5 O O

C. B-PER B-PER
spearman I-PER O
c O O
moin B-PER O
khan I-PER I-PER
b O O
wasim B-PER O

A. B-PER B-PER
parore I-PER I-PER
c O O
ijaz B-PER O
ahmad I-PER O
b O O
saqlain B-PER O
37 O O

S. B-PER B-PER
fleming I-PER I-PER
c O O
and O O
b O O
afridi B-PER O
88 O O

C. B-PER B-PER
cairns I-PER I-PER
b O O
saqlain B-PER O
10 O O

N. B-PER B-PER
astle I-PER O
c O O
ijaz B-PER O
ahmad I-PER O
b O O
salim B-PER O
malik I-PER O
20 O O

C. B-PER B-PER
harris I-PER I-PER
lbw O <pad>
b O O
wasim B-PER O
22 O O

L. B-PER O
germon I-PER O
lbw O O
b O O
afridi B-PER O
2 O O

J. B-PER B-PER
vaughan I-PER I-PER
c O O
moin B-PER O
khan I-PER I-PER
b O O
wasim B-PER O
13 O O

S. B-PER B-PER
doull I-PER O
c O O
subs O O
( O O
M. B-PER B-PER
wasim I-PER O
) O O
b O O
waqar B-PER O
1 O O

R. B-PER B-PER
kennedy I-PER I-PER
not O O
out O O
7 O O

extras O O
( O O
b-9 O O
lb-3 O O
w-12 O O
nb-2 O O
) O O
26 O O

total O O
( O O
all O O
out O O
in O O
42.1 O O
overs O O
) O O
231 O O

fall O O
of O O
wickets O O
: O O
1-3 O O
2-7 O O
3-125 O O
4-146 O O
5-170 O O
6-190 O O
7-195 O O

8-213 O O
9-216 O O
. O O

bowling O O
: O O
wasim B-PER O
akram I-PER O
8.1-0-43-3 O O
( O O
9w O O
, O O
1nb O O
) O O
, O O
waqar B-PER O
younis I-PER O

6-0-32-2 O O
( O O
2w O O
, O O
1nb O O
) O O
, O O
saqlain B-PER O
mushtaq I-PER O
8-0-54-2 O O
, O O
mushtaq B-PER O
ahmad I-PER O

10-0-42-0 O O
( O O
1w O O
) O O
, O O
shahid B-PER O
afridi I-PER O
7-0-40-2 O O
, O O
salim B-PER O
malik I-PER O
2.5-0-8-1 O O
, O O

ijaz B-PER O
ahmad I-PER O
0.1-0-0-0 O O
. O O

result O O
: O O
pakistan B-LOC B-LOC
won O O
by O O
46 O O
runs O O
. O O

third O O
one-day O O
match O O
: O O
december O O
8 O O
, O O
in O O
karachi B-LOC O
. O O

SOCCER O O
- O O
ENGLISH B-MISC B-MISC
F.A. I-MISC O
CUP I-MISC O
SECOND O O
ROUND O O
RESULT O O
. O O

LONDON B-LOC B-LOC
1996-12-06 O O

result O O
of O O
an O O
english B-MISC B-MISC
F.A. I-MISC O
challenge I-MISC O

cup B-MISC I-MISC
second O O
round O O
match O O
on O O
friday O O
: O O

plymouth B-ORG B-ORG
4 O O
exeter B-ORG O
1 O O

SOCCER O O
- O O
BLINKER B-PER O
BAN O O
LIFTED O O
. O O

LONDON B-LOC B-LOC
1996-12-06 O O

dutch B-MISC B-MISC
forward O O
reggie B-PER O
blinker I-PER O
had O O
his O O
indefinite O O
suspension O O
lifted O O
by O O
FIFA B-ORG O
on O O
friday O O
and O O
was O O
set O O
to O O
make O O
his O O
sheffield B-ORG O
wednesday I-ORG O
comeback O O
against O O
liverpool B-ORG O
on O O
saturday O O
. O O

blinker B-PER O
missed O O
his O O
club O O
's O O
last O O
two O O
games O O
after O O
FIFA B-ORG O
slapped O O
a O O
worldwide O O
ban O O
on O O
him O O
for O O
appearing O O
to O O
sign O O
contracts O O
for O O
both O O
wednesday B-ORG O
and O O
udinese B-ORG O
while O O
he O O
was O O
playing O O
for O O
feyenoord B-ORG O
. O O

FIFA B-ORG B-ORG
's O O
players O O
' O O
status O O
committee O O
, O O
meeting O O
in O O
barcelona B-LOC O
, O O
decided O O
that O O
although O O
the O O
udinese B-ORG O
document O O
was O O
basically O O
valid O O
, O O
it O O
could O O
not O O
be O O
legally O O
protected O O
. O O

the O O
committee O O
said O O
the O O
italian B-MISC B-MISC
club O O
had O O
violated O O
regulations O O
by O O
failing O O
to O O
inform O O
feyenoord B-ORG O
, O O
with O O
whom O O
the O O
player O O
was O O
under O O
contract O O
. O O

blinker B-PER O
was O O
fined O O
75,000 O O
swiss B-MISC O
francs O O
( O O
$ O O
57,600 O O
) O O
for O O
failing O O
to O O
inform O O
the O O
engllsh B-MISC O
club O O
of O O
his O O
previous O O
commitment O O
to O O
udinese B-ORG O
. O O

SOCCER O O
- O O
LEEDS B-ORG O
' O O
BOWYER B-PER O
FINED O O
FOR O O
PART O O
IN O O
FAST-FOOD O O
FRACAS O O
. O O

LONDON B-LOC B-LOC
1996-12-06 O O

leeds B-ORG B-ORG
' O O
england B-LOC B-LOC
under-21 O O
striker O O
lee B-PER B-PER
bowyer I-PER O
was O O
fined O O
4,500 O O
pounds O O
( O O
$ O O
7,400 O O
) O O
on O O
friday O O
for O O
hurling O O
chairs O O
at O O
restaurant O O
staff O O
during O O
a O O
disturbance O O
at O O
a O O
mcdonald B-ORG O
's I-ORG O
fast-food O O
restaurant O O
. O O

bowyer B-PER O
, O O
19 O O
, O O
who O O
was O O
caught O O
in O O
the O O
act O O
by O O
security O O
cameras O O
, O O
pleaded O O
guilty O O
to O O
a O O
charge O O
of O O
affray O O
at O O
a O O
court O O
in O O
london B-LOC B-LOC
. O O

he O O
was O O
fined O O
and O O
ordered O O
to O O
pay O O
a O O
total O O
of O O
175 O O
pounds O O
to O O
two O O
members O O
of O O
staff O O
injured O O
in O O
the O O
fracas O O
in O O
an O O
east O O
london B-LOC B-LOC
restaurant O O
in O O
october O O
. O O

leeds B-ORG B-ORG
had O O
already O O
fined O O
bowyer B-PER O
4,000 O O
pounds O O
( O O
$ O O
6,600 O O
) O O
and O O
warned O O
him O O
a O O
repeat O O
of O O
his O O
criminal O O
behaviour O O
could O O
cost O O
him O O
his O O
place O O
in O O
the O O
side O O
. O O

bowyer B-PER O
, O O
who O O
moved O O
to O O
the O O
yorkshire B-LOC O
club O O
in O O
august O O
for O O
3.5 O O
million O O
pounds O O
( O O
$ O O
5.8 O O
million O O
) O O
, O O
was O O
expected O O
to O O
play O O
against O O
middlesbrough B-ORG O
on O O
saturday O O
. O O

BASKETBALL O O
- O O
EUROLEAGUE B-MISC O
STANDINGS O O
. O O

LONDON B-LOC B-LOC
1996-12-06 O O

standings O O
in O O
the O O
men O O
's O O
euroleague B-MISC O

basketball O O
championship O O
after O O
thursday O O
's O O
matches O O
( O O
tabulate O O
under O O

played O O
, O O
won O O
, O O
lost O O
, O O
points O O
) O O
: O O

group O O
A O O

CSKA B-ORG O
moscow I-ORG B-LOC
( O O
russia B-LOC B-LOC
9 O O
6 O O
3 O O
15 O O

stefanel B-ORG O
milan I-ORG B-LOC
( O O
italy B-LOC B-LOC
) O O
9 O O
6 O O
3 O O
15 O O

maccabi B-ORG O
tel I-ORG B-LOC
aviv I-ORG O
( O O
israel B-LOC B-LOC
) O O
9 O O
5 O O
4 O O
14 O O

ulker B-ORG O
spor I-ORG O
( O O
turkey B-LOC O
) O O
9 O O
4 O O
5 O O
13 O O

limoges B-ORG O
( O O
france B-LOC B-LOC
) O O
9 O O
3 O O
6 O O
12 O O

panionios B-ORG O
( O O
greece B-LOC B-LOC
) O O
9 O O
3 O O
6 O O
12 O O

group O O
B O O

teamsystem B-ORG O
bologna I-ORG O
( O O
italy B-LOC B-LOC
) O O
9 O O
7 O O
2 O O
16 O O

olympiakos B-ORG O
( O O
greece B-LOC B-LOC
) O O
9 O O
5 O O
4 O O
14 O O

cibona B-ORG O
zagreb I-ORG O
( O O
croatia B-LOC B-LOC
) O O
9 O O
5 O O
4 O O
14 O O

alba B-ORG B-ORG
berlin I-ORG I-LOC
( O O
germany B-LOC B-LOC
) O O
9 O O
5 O O
4 O O
14 O O

estudiantes B-ORG B-LOC
madrid I-ORG B-ORG
( O O
spain B-LOC B-LOC
) O O
9 O O
5 O O
4 O O
14 O O

charleroi B-ORG O
( O O
belgium B-LOC B-LOC
) O O
9 O O
9 O O
9 O O

group O O
C O O

panathinaikos B-ORG O
( O O
greece B-LOC B-LOC
) O O
9 O O
7 O O
2 O O
16 O O

ljubljana B-ORG O
( O O
slovenia B-LOC O
) O O
9 O O
6 O O
3 O O
15 O O

villeurbanne B-ORG O
( O O
france B-LOC B-LOC
) O O
9 O O
6 O O
3 O O
15 O O

barcelona B-ORG B-ORG
( O O
spain B-LOC B-LOC
) O O
9 O O
4 O O
5 O O
13 O O

split B-ORG O
( O O
croatia B-LOC B-LOC
) O O
9 O O
4 O O
5 O O
13 O O

bayer B-ORG B-ORG
leverkusen I-ORG O
( O O
germany B-LOC B-LOC
) O O
9 O O
9 O O
9 O O

group O O
D O O

efes B-ORG O
pilsen I-ORG O
( O O
turkey B-LOC O
) O O
9 O O
7 O O
2 O O
16 O O

pau-orthez B-ORG O
